文件名,处理时间,案例编号,案例名称,地区,学段,产业应用现状,优势和创新点,关键技术路径,技术要素,Unnamed: 10,工具名称,企业名称,是否自主研发,产品形态,产品分类,文档内容依据,主要应用场景,次要应用场景,应用场景（一级）,应用场景（二级）,培养方向,潜在成效,关键技术路径.1,技术要素.1,产业应用现状.1,优势和创新点.1,学科,工具标准名,公司,省份,三赋能分类,iSTAR人机协同层级,D1_深度学习,D2_绿色鲁棒,D3_循证教学,D4_人机互信,智慧教育境界,技术路径类型,创新深度评分,产品技术代际
第01号案例_1温州市新田园小学 叶诗婧《数“算”生“动”：AI赋能下运算律教学的新样态》.pdf,2026-02-03 10:48:02,1,数“算”生“动”：AI赋能下运算律教学的新样态,温州市,小学,企业产品以“学习支持工具”为主，学校多通过校本化规则实现教学适配，整体处于规模化应用初期,通过动态点子图和AI语音交互，将抽象的运算律转化为可操作的探究过程，实现了概念理解从抽象到直观、思维过程从内隐到外显的突破。,学习行为采集 → 学情诊断与画像生成 → 个性化反馈与辅导 → 学习改进,"[""语音识别"", ""动态可视化"", ""学习行为分析模型"", ""教育数据挖掘"", ""人工智能算法""]",,AI学习机,未点名企业,0.0,AI系统,AI 能力 / 模型 / API（基础层）,文档中提到“利用360AI的语音转写和关键帧提取功能，实现影视资源的快速剪辑”,影视资源快速剪辑,关键内容提取,助学,智能辅导系统,智育,学生：深化算理理解、提升表达与推理能力；教师：实现精准诊断与即时干预；学校：形成可复制的“AI+概念教学”范式,学习行为采集 → 学情诊断与画像生成 → 个性化反馈与辅导 → 学习改进,"数据采集层（多模态学习数据采集与融合）
画像诊断层（个性化画像生成、过程性反馈解释）
个性化学习层（即时生成反馈）",企业产品以“学习支持工具”为主，学校多通过校本化规则实现教学适配，整体处于规模化应用初期,AI点子图可视化 + AI说理，将抽象运算律转化为可操作模型，实现“理解—表达—诊断”闭环,数学,360AI,360AI,江苏省,赋能学生,HM2C(2),1,0,1,0,第一境界_智慧环境,T1_内容生成,4,Gen3_AI辅助
第01号案例_1温州市新田园小学 叶诗婧《数“算”生“动”：AI赋能下运算律教学的新样态》.pdf,2026-02-03 10:48:02,1,数“算”生“动”：AI赋能下运算律教学的新样态,温州市,小学,企业产品以“学习支持工具”为主，学校多通过校本化规则实现教学适配，整体处于规模化应用初期,通过动态点子图和AI语音交互，将抽象的运算律转化为可操作的探究过程，实现了概念理解从抽象到直观、思维过程从内隐到外显的突破。,学习行为采集 → 学情诊断与画像生成 → 个性化反馈与辅导 → 学习改进,"[""语音识别"", ""动态可视化"", ""学习行为分析模型"", ""教育数据挖掘"", ""人工智能算法""]",,AI语音互动平台,未点名企业,0.0,软件平台,Web 教学平台（SaaS）,文档中描述‘借助3D地图WebGL技术，让学生以荔枝史身份操作演示运输路线演变过程’,课堂教学,情境模拟与互动,助学,智能辅导系统,智育,学生：深化算理理解、提升表达与推理能力；教师：实现精准诊断与即时干预；学校：形成可复制的“AI+概念教学”范式,学习行为采集 → 学情诊断与画像生成 → 个性化反馈与辅导 → 学习改进,"数据采集层（多模态学习数据采集与融合）
画像诊断层（个性化画像生成、过程性反馈解释）
个性化学习层（即时生成反馈）",企业产品以“学习支持工具”为主，学校多通过校本化规则实现教学适配，整体处于规模化应用初期,AI点子图可视化 + AI说理，将抽象运算律转化为可操作模型，实现“理解—表达—诊断”闭环,数学,3D地图WebGL技术,3D地图WebGL技术,重庆市,赋能学生,HM2C(2),1,0,1,0,第一境界_智慧环境,T6_平台生态,4,Gen2_互联网+
第01号案例_1温州市新田园小学 叶诗婧《数“算”生“动”：AI赋能下运算律教学的新样态》.pdf,2026-02-03 10:48:02,1,数“算”生“动”：AI赋能下运算律教学的新样态,温州市,小学,企业产品以“学习支持工具”为主，学校多通过校本化规则实现教学适配，整体处于规模化应用初期,通过动态点子图和AI语音交互，将抽象的运算律转化为可操作的探究过程，实现了概念理解从抽象到直观、思维过程从内隐到外显的突破。,学习行为采集 → 学情诊断与画像生成 → 个性化反馈与辅导 → 学习改进,"[""语音识别"", ""动态可视化"", ""学习行为分析模型"", ""教育数据挖掘"", ""人工智能算法""]",,动态点子图生成系统,未点名企业,0.0,软件平台,平台型综合系统,文档中描述“3D建模工具：拆解三脚插头结构，模拟‘接地 / 未接地’漏电场景”,课堂教学,物理模型展示,助学,智能辅导系统,智育,学生：深化算理理解、提升表达与推理能力；教师：实现精准诊断与即时干预；学校：形成可复制的“AI+概念教学”范式,学习行为采集 → 学情诊断与画像生成 → 个性化反馈与辅导 → 学习改进,"数据采集层（多模态学习数据采集与融合）
画像诊断层（个性化画像生成、过程性反馈解释）
个性化学习层（即时生成反馈）",企业产品以“学习支持工具”为主，学校多通过校本化规则实现教学适配，整体处于规模化应用初期,AI点子图可视化 + AI说理，将抽象运算律转化为可操作模型，实现“理解—表达—诊断”闭环,数学,3D建模工具,3D建模工具,内蒙古自治区,赋能学生,HM2C(2),1,0,1,0,第一境界_智慧环境,T4_沉浸体验,4,Gen2_互联网+
第02号案例_2温州市新田园小学朱朝炜《三维联动：人工智能视域下小学足球运球游戏设计与研究》.pdf,2026-02-03 10:48:21,2,人工智能视域下“三维联动”小学足球运球游戏设计与实践,温州市,小学,已在小学足球运球教学中实践应用，覆盖不同学段学生，适合推广至其他体育项目。,通过智慧设备与游戏化教学的结合，提升学生的技术掌握度与体能达标率，解决传统教学中的多项痛点。,数据采集 → 动态调整 → 多维反馈 → 技术迁移与应用,"[""数据采集"", ""动态调整"", ""多维反馈"", ""技术迁移"", ""体能监测""]",,智慧手环,未点名企业,0.0,硬件,教学辅助工具（工具型）,文档中提到“依托信息技术学科，将前期绘画作品通过生成式AI优化，再用3D打印技术制作实体模型”,美育创作,文化传承,助学,游戏化学习,体育,学生：提升足球运球技术、体能达标率与课堂参与度；教师：实现精准调控与动态反馈；学校：推动体育教学数字化转型与创新实践。,数据采集 → 动态调整 → 多维反馈,数据采集层（智慧手环、心率带、AI分析系统）；动态调整层（实时心率监测、体能负荷调控）；反馈层（多源数据融合的精准评价体系）,企业产品以“智慧体育”与“游戏化教学”为主，整体处于数字化转型的探索阶段，具有较大的推广潜力。,构建“技术-体能-应用”三维联动框架，通过游戏化教学实现技术、体能与应用的协同发展，填补传统教学中“数据缺失-调控盲目”的空白。,体育,3D打印技术,3D打印技术,重庆市,赋能学生,HMC(1),1,0,0,0,第一境界_智慧环境,T4_沉浸体验,1,Gen3_AI辅助
第02号案例_2温州市新田园小学朱朝炜《三维联动：人工智能视域下小学足球运球游戏设计与研究》.pdf,2026-02-03 10:48:21,2,人工智能视域下“三维联动”小学足球运球游戏设计与实践,温州市,小学,已在小学足球运球教学中实践应用，覆盖不同学段学生，适合推广至其他体育项目。,通过智慧设备与游戏化教学的结合，提升学生的技术掌握度与体能达标率，解决传统教学中的多项痛点。,数据采集 → 动态调整 → 多维反馈 → 技术迁移与应用,"[""数据采集"", ""动态调整"", ""多维反馈"", ""技术迁移"", ""体能监测""]",,AI分析系统,未点名企业,0.0,硬件,教学辅助工具（工具型）,文档中提到“通过3D打印技术制作实体模型”,美育创作,家风家训传承,助学,游戏化学习,体育,学生：提升足球运球技术、体能达标率与课堂参与度；教师：实现精准调控与动态反馈；学校：推动体育教学数字化转型与创新实践。,数据采集 → 动态调整 → 多维反馈,数据采集层（智慧手环、心率带、AI分析系统）；动态调整层（实时心率监测、体能负荷调控）；反馈层（多源数据融合的精准评价体系）,企业产品以“智慧体育”与“游戏化教学”为主，整体处于数字化转型的探索阶段，具有较大的推广潜力。,构建“技术-体能-应用”三维联动框架，通过游戏化教学实现技术、体能与应用的协同发展，填补传统教学中“数据缺失-调控盲目”的空白。,体育,3D打印技术,3D打印技术,重庆市,赋能学生,HMC(1),1,0,0,0,第一境界_智慧环境,T4_沉浸体验,1,Gen3_AI辅助
第03号案例_3【案例】从赋能到内生：智能评测驱动“教学评一致”的机理与路径探寻.pdf,2026-02-03 10:48:01,3,从赋能到内生：智能评测驱动“教学评一致”的机理与路径探寻,温州市,小学,已在温州市多所小学规模化应用，覆盖44个班级、1980名学生,实现了智能技术角色从外部工具赋能到系统内生动力的范式转换，重构了“教学评一致性”的实现机理与路径。,数据驱动的教学评一体化模式构建 → 智能语音检测 → 实时语音训练与智能评分 → 个性化学习分析报告生成,"[""语音识别"", ""数据分析"", ""智能评测"", ""个性化学习路径设计"", ""实时反馈""]",,易点慧语音型学习机,未点名企业,0.0,硬件工具,教学辅助工具（工具型）,文档中提到“引入3D打印机”,创客教育,模型制作,助教,智能学情诊断与个性化辅导,智育,学生：提升语音准确率、增强课堂参与度；教师：实现精准教学与动态调整；学校：形成可复制的教学评一致性模式,数据采集 → 学情诊断与分析 → 个性化反馈与辅导 → 教学评一致性实现,"数据采集层（多模态数据采集与分析）
行为识别层（语音评测与互动分析）
画像诊断层（个性化学情报告生成）
智能策略层（动态教学调整与反馈）",企业产品以“智能评测与个性化辅导工具”为主，已在多所小学规模化应用，整体处于推广阶段,实现了智能评测从外部工具赋能到系统内生动力的转变，构建了“教学评一致性”的动态调整机制，提升了教学效率与学生语言应用能力,英语,3D打印机,3D打印机,浙江省,赋能教师,HMC(1),0,0,1,0,第一境界_智慧环境,T4_沉浸体验,1,Gen3_AI辅助
第04号案例_AI赋能地理课堂——七大洲轮廓记忆消消乐申报书.docx,2026-02-03 10:47:58,4,AI赋能地理课堂--七大洲轮廓记忆消消乐,重庆市璧山区,初中,已在初一地理课堂进行尝试应用，具备规模化推广的潜力,通过游戏化学习模式激发学生学习兴趣，实现个性化互动与即时反馈，提升知识点记忆效率。,AI技术优化教学形式 → 实时交互与自适应挑战 → 动态游戏任务 → 学习主动性提升,"[""AI大模型算法"", ""Web技术"", ""即时反馈系统"", ""用户体验优化""]",,七大洲速记挑战,未点名企业,0.0,实体教具,教学辅助工具（工具型）,文档中提到“为全盲生定制3D打印配子自由组合模型学具”,课堂教学,触觉学习,助学,智能辅导系统,智育,学生：提升知识点记忆效率，增强学习主动性；教师：提供即时反馈与个性化巩固工具；学校：探索AI与基础教育深度融合的实践思路。,需求分析 → AI互动速记挑战网页开发 → 界面优化与课堂融合实践 → 持续反馈与迭代优化,"数据采集层（学生操作数据记录）
行为识别层（学习模式分析）
个性化学习层（即时反馈与挑战）",企业产品以“轻量化教育应用”为主，能够快速部署，适用于教育资源薄弱地区，整体处于推广阶段。,将游戏化学习与地理知识结合，创新性地转变学习模式，提供零门槛的教育应用，促进学生主动学习与课堂互动。,地理,3D打印配子自由组合模型,3D打印配子自由组合模型,上海市,赋能学生,HM2C(2),1,0,0,0,第一境界_智慧环境,T4_沉浸体验,2,Gen3_AI辅助
第07号案例_案例申报书.docx,2026-02-03 10:48:02,7,AI作为“认知协作者”赋能高中数学阅读精品课的跨学科构建与实践,重庆市北碚区,高中,模式具有极强的可复制性，已遴选为重庆市2025年精品课，正处于实践总结阶段,通过将AI作为认知协作者，提升备课效率与课程质量，创新性地引入虚拟学生角色解决互动难题。,需求分析 → AI赋能的设计流程 → 课程实施 → 评价与反馈,"[""人工智能"", ""自然语言处理"", ""知识图谱"", ""虚拟现实技术"", ""深度学习""]",,DeepSeek,呼和浩特市第一中学,1.0,软件平台,平台型综合系统,文档中提到“运用3D虚拟交互技术将实验虚拟化实现，并融合全息投影和AI数字人”,实验教学,虚拟实验操作,助教,课堂管理,智育,学生：提升数学抽象能力、空间想象能力及科技伦理观念；教师：提高备课效率与课程质量；学校：推动基础教育资源的优质均衡发展。,需求分析 → 课程设计 → AI赋能的设计流程与实践 → 课堂实施 → 课后评价与思辨引导,"数据采集层（AI工具DeepSeek用于内容整合与框架生成）
行为识别层（AI生成课堂任务与互动设计）
画像诊断层（AI生成思辨性问题）",该模式具有极强的可复制性，适用于各学科、各学段的精品课、公开课及常规课的教学设计，整体处于推广应用阶段。,将AI作为“认知协作者”嵌入课程开发全流程，促进教师角色转变为方案设计者与质量把控者，创新性地引入“数字人”模拟学生进行互动，提升课堂沉浸感与互动性。,数学,3D虚拟实验室,3D虚拟实验室,内蒙古自治区,赋能教师,HM2C(2),1,0,0,0,第二境界_教学模式,T4_沉浸体验,4,Gen4_大模型
第07号案例_案例申报书.docx,2026-02-03 10:48:02,7,AI作为“认知协作者”赋能高中数学阅读精品课的跨学科构建与实践,重庆市北碚区,高中,模式具有极强的可复制性，已遴选为重庆市2025年精品课，正处于实践总结阶段,通过将AI作为认知协作者，提升备课效率与课程质量，创新性地引入虚拟学生角色解决互动难题。,需求分析 → AI赋能的设计流程 → 课程实施 → 评价与反馈,"[""人工智能"", ""自然语言处理"", ""知识图谱"", ""虚拟现实技术"", ""深度学习""]",,可灵AI,未点名企业,0.0,硬件设备,教学辅助工具（工具型）,文档中提到“依托4K智能跟拍系统与阵列麦音频分析技术，全自动采集课堂师生动作、语音及互动数据”,课堂教学,数据采集,助教,课堂管理,智育,学生：提升数学抽象能力、空间想象能力及科技伦理观念；教师：提高备课效率与课程质量；学校：推动基础教育资源的优质均衡发展。,需求分析 → 课程设计 → AI赋能的设计流程与实践 → 课堂实施 → 课后评价与思辨引导,"数据采集层（AI工具DeepSeek用于内容整合与框架生成）
行为识别层（AI生成课堂任务与互动设计）
画像诊断层（AI生成思辨性问题）",该模式具有极强的可复制性，适用于各学科、各学段的精品课、公开课及常规课的教学设计，整体处于推广应用阶段。,将AI作为“认知协作者”嵌入课程开发全流程，促进教师角色转变为方案设计者与质量把控者，创新性地引入“数字人”模拟学生进行互动，提升课堂沉浸感与互动性。,数学,4K智能跟拍系统,4K智能跟拍系统,新疆维吾尔自治区,赋能教师,HM2C(2),1,0,0,0,第一境界_智慧环境,T5_智能硬件,3,Gen5_多模态AI
第07号案例_案例申报书.docx,2026-02-03 10:48:02,7,AI作为“认知协作者”赋能高中数学阅读精品课的跨学科构建与实践,重庆市北碚区,高中,模式具有极强的可复制性，已遴选为重庆市2025年精品课，正处于实践总结阶段,通过将AI作为认知协作者，提升备课效率与课程质量，创新性地引入虚拟学生角色解决互动难题。,需求分析 → AI赋能的设计流程 → 课程实施 → 评价与反馈,"[""人工智能"", ""自然语言处理"", ""知识图谱"", ""虚拟现实技术"", ""深度学习""]",,豆包,未点名企业,0.0,硬件 + AI系统,教学辅助工具（工具型）,文档中描述“在校园走廊、过道等公共空间部署5G AI相机，引入‘爱心小叮当’AI心理健康辅助决策平台。”,情绪数据采集,面部表情识别,助教,课堂管理,智育,学生：提升数学抽象能力、空间想象能力及科技伦理观念；教师：提高备课效率与课程质量；学校：推动基础教育资源的优质均衡发展。,需求分析 → 课程设计 → AI赋能的设计流程与实践 → 课堂实施 → 课后评价与思辨引导,"数据采集层（AI工具DeepSeek用于内容整合与框架生成）
行为识别层（AI生成课堂任务与互动设计）
画像诊断层（AI生成思辨性问题）",该模式具有极强的可复制性，适用于各学科、各学段的精品课、公开课及常规课的教学设计，整体处于推广应用阶段。,将AI作为“认知协作者”嵌入课程开发全流程，促进教师角色转变为方案设计者与质量把控者，创新性地引入“数字人”模拟学生进行互动，提升课堂沉浸感与互动性。,数学,5G AI相机,5G AI相机,浙江省,赋能教师,HM2C(2),1,0,0,0,第一境界_智慧环境,T5_智能硬件,3,Gen4_大模型
